ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,TSS,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3_N,NH4_N,DIN,DON,ANC,H,Ca,Mg,Na,K,NH4,F,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,%ION,DIFF,%_COND,COND,LAB_NOTES
FCW 100,100,Hourglass Reservoir Outflow,Hourglass Reservoir Outflow,HORO,8/21/2020,,No TSS,NORM,,,,,2.78,0.23,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89,0.02,0.01,0.04,0.2,238.75,0.21,175.73,63.44,47.8,10.69,0.94,2.26,6.67,1.73,0,18.53,267.93,298.82,566.75,-5.45,297.67,26.93,270.74,OK,11.02,OK,27.7,
FCW 161,161,Long Draw Reservoir,LNGR_102020,LNGR,10/20/2020,,No TSS,NORM,,0,,,2.39,0.34,6.9,203.46,27.52,1.01,0.02,0.59,1.19,1.94,0.22,0.14,0.09,0,1.98,0.02,0.02,0.04,0.31,203.46,0.13,96.81,97.92,43.85,15.12,1.11,11.74,3.83,1.5,0,41.12,261.65,254.92,516.58,1.3,253.69,46.45,207.24,OK,-8.62,OK,25.15,
FCW 162,162,Peterson Reservoir,PTRR_102020,PTRR,10/20/2020,,No TSS,NORM,,0,,,9.37,0.48,6.92,268.85,40.12,1.35,0.01,1.07,0.47,4.06,0.02,0.29,0.16,0,7.34,0.04,0.01,0.05,0.43,268.85,0.12,202.5,38.26,58.77,27.39,0.78,1.11,8.3,2.61,0,152.78,433.65,327.81,761.46,13.9,326.92,163.69,163.23,OK,1.33,OK,40.65,
FCW 164,164,Barnes Meadow Reservoir Outflow,BMD_102020,BMR,10/20/2020,,No TSS,NORM,,0,,,9.61,0.5,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75,0.03,0.02,0.04,0.46,375.6,0.05,281.94,54.31,83.82,26.68,1.22,2.68,18.73,1.84,0,36.43,435.28,448.01,883.29,-1.44,446.74,56.99,389.75,OK,3.32,OK,43.84,
FCW 214,214,Chambers Lake Outflow,Chambers Lake Outflow,CHR,11/16/2020,10:30,No TSS,NORM,,0,,,2.69,0.25,7.55,445.98,50.64,2,0.02,0.87,1.36,5.56,0.07,0.4,0.08,0,2.73,0.02,0.01,0.03,0.22,445.98,0.03,277.57,111.75,86.78,22.3,1.05,3.58,11.37,1.27,0,56.92,519.12,499.48,1018.6,1.93,498.4,69.56,428.83,OK,-1.22,OK,50.02,
FCW 240,240,Barnes Meadow Reservoir Outflow,BMD_040721,BMR,4/7/2021,,No TSS,NORM,,0,6,,10.2,0.4,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07,0.03,0.09,0.12,0.28,397.12,0.02,270.51,57.03,91.43,27.03,6.38,1.53,17.21,2.38,0,43.16,461.4,452.4,913.79,0.98,446,62.75,383.25,OK,-8.86,OK,45.48,
FCW 241,241,Barnes Meadow Reservoir Outflow,BMD_041221,BMD,4/12/2021,9:04,No TSS,NORM,,0,,2.88,8.83,0.56,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85,0.02,0.06,0.08,0.48,444.24,0.1,283.43,51.84,92.21,25.83,4.44,2.11,19.74,1.29,0.02,38.52,505.92,457.86,963.78,4.99,453.32,59.55,393.77,OK,-7.57,OK,47.59,
FCW 250,250,Chambers Lake Inflow,CBRI_041321,CBRI,4/13/2021,9:07,,NORM,1,0,1.8,0,3.18,0.3,7.3,460.9,54.26,1.96,0.01,0.85,1.22,5.94,0.08,0.54,0.09,0,1.95,0.02,0.01,0.03,0.28,460.9,0.05,296.61,100.47,85.04,21.84,0.5,4.05,15.34,1.42,0,40.54,522.26,504.51,1026.77,1.73,503.96,57.3,446.66,OK,-7.6,OK,50.13,
FCW 261,261,Chambers Lake Inflow,CBRI_041921,CBRI,4/19/2021,9:11,,NORM,0,0,2,0,2.61,0.24,7.32,443.42,55.19,2.01,0.01,0.84,1.18,5.98,0.06,0.59,0.1,0,1.93,0.02,0.01,0.03,0.21,443.42,0.05,298.25,97.43,87.47,21.59,0.44,3.37,16.56,1.6,0,40.27,505.21,505.23,1010.45,0,504.74,58.42,446.32,OK,-10.32,OK,49.5,
FCW 262,262,Barnes Meadow Reservoir Outflow,BMD_041921,BMR,4/19/2021,9:29,,NORM,2,0,12,3.75,9.67,0.77,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01,0.02,0.07,0.09,0.68,369.75,0.03,270.46,53.49,92.65,24.55,4.99,2.11,19.18,1.45,0.03,41.85,434.37,446.17,880.54,-1.34,441.15,62.48,378.67,OK,1.41,OK,43.89,
FCW 263,263,Chambers Lake Outflow,CHR_041921,CHR,4/19/2021,9:38,,NORM,1,0,2.4,1.92,2.94,0.36,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54,0.01,0.01,0.02,0.33,509.69,0.05,323.35,108.78,92.69,23.58,0.68,3.37,23.98,0.87,0,52.97,590.87,549.14,1140.01,3.66,548.41,77.81,470.59,OK,-6.89,OK,56.05,
FCW 281,281,Chambers Lake Inflow,CBRI_042621,CBRI,4/26/2021,9:45,,NORM,1,0,2,202.86,2.76,0.31,7.13,450.52,50.11,1.99,0.01,0.92,1.24,5.94,0.06,0.64,0.07,0,1.92,0.02,0.01,0.02,0.28,450.52,0.07,296.61,102.37,86.73,23.58,0.67,3.05,18.16,1.08,0,40,512.82,510.03,1022.85,0.27,509.29,59.24,450.05,OK,0.08,OK,50.15,
FCW 282,282,Chambers Lake Outflow,CHD_042621,CHD,4/26/2021,10:24,,NORM,2,0,1.5,0,3.03,0.36,6.99,505.86,56.8,2.55,0.02,0.97,1.36,6.74,0.06,0.75,0.04,0,2.5,0.01,0.02,0.03,0.34,505.86,0.1,336.33,112.08,110.92,24.73,1.17,3.16,21.15,0.65,0,52.14,582.95,585.33,1168.28,-0.2,584.05,73.94,510.12,OK,1.14,OK,57.45,
FCW 283,283,Barnes Meadow Reservoir Outflow,BMD_042621,BMD,4/26/2021,10:46,,NORM,3.4,0,15,6.67,10.51,1,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95,0.02,0.07,0.09,0.9,444.5,0.07,282.19,64.18,137.02,23.27,4.99,1.58,21.44,1.77,0.02,40.6,509.91,511.72,1021.64,-0.18,506.66,63.81,442.85,OK,-1.14,OK,50.46,
