Date,Time,Value,Unit,Data Quality,CFS
11/2/2021,4:18:52 PM,49,cfs,A,49
11/2/2021,3:48:52 PM,46,cfs,A,46
11/2/2021,3:18:52 PM,48,cfs,A,48
11/2/2021,2:48:52 PM,53,cfs,A,53
11/2/2021,2:18:52 PM,46,cfs,A,46
11/2/2021,1:48:52 PM,44,cfs,A,44
11/2/2021,1:18:52 PM,45,cfs,A,45
11/2/2021,12:48:52 PM,47,cfs,A,47
11/2/2021,12:18:52 PM,44,cfs,A,44
11/2/2021,11:48:52 AM,45,cfs,A,45
11/2/2021,11:18:52 AM,43,cfs,A,43
11/2/2021,10:48:52 AM,46,cfs,A,46
11/2/2021,10:18:52 AM,39,cfs,A,39
11/2/2021,9:48:52 AM,46,cfs,A,46
11/2/2021,9:18:52 AM,43,cfs,A,43
11/2/2021,8:48:52 AM,41,cfs,A,41
11/2/2021,8:18:52 AM,44,cfs,A,44
11/2/2021,7:48:52 AM,44,cfs,A,44
11/2/2021,7:18:52 AM,44,cfs,A,44
11/2/2021,6:48:52 AM,41,cfs,A,41
11/2/2021,6:18:52 AM,45,cfs,A,45
11/2/2021,5:48:52 AM,40,cfs,A,40
11/2/2021,5:18:52 AM,44,cfs,A,44
11/2/2021,4:48:52 AM,44,cfs,A,44
11/2/2021,4:18:52 AM,44,cfs,A,44
11/2/2021,3:48:52 AM,42,cfs,A,42
11/2/2021,3:18:52 AM,42,cfs,A,42
11/2/2021,2:48:53 AM,41,cfs,A,41
11/2/2021,2:18:52 AM,44,cfs,A,44
11/2/2021,1:48:52 AM,42,cfs,A,42
11/2/2021,1:18:52 AM,46,cfs,A,46
11/2/2021,12:48:52 AM,40,cfs,A,40
11/2/2021,12:18:52 AM,42,cfs,A,42
11/1/2021,11:48:52 PM,41,cfs,A,41
11/1/2021,11:18:52 PM,43,cfs,A,43
11/1/2021,10:48:52 PM,42,cfs,A,42
11/1/2021,10:18:52 PM,44,cfs,A,44
11/1/2021,9:48:52 PM,42,cfs,A,42
11/1/2021,9:18:52 PM,45,cfs,A,45
11/1/2021,8:48:52 PM,44,cfs,A,44
11/1/2021,8:18:53 PM,41,cfs,A,41
11/1/2021,7:48:52 PM,41,cfs,A,41
11/1/2021,7:18:52 PM,44,cfs,A,44
11/1/2021,6:48:52 PM,42,cfs,A,42
11/1/2021,6:18:52 PM,46,cfs,A,46
11/1/2021,5:48:53 PM,44,cfs,A,44
11/1/2021,5:18:52 PM,43,cfs,A,43
11/1/2021,4:48:52 PM,42,cfs,A,42
11/1/2021,4:18:53 PM,46,cfs,A,46
11/1/2021,3:48:52 PM,47,cfs,A,47
11/1/2021,3:18:52 PM,45,cfs,A,45
11/1/2021,2:48:52 PM,48,cfs,A,48
11/1/2021,2:18:52 PM,44,cfs,A,44
11/1/2021,1:48:53 PM,52,cfs,A,52
11/1/2021,1:18:52 PM,49,cfs,A,49
11/1/2021,12:48:53 PM,45,cfs,A,45
11/1/2021,12:18:52 PM,39,cfs,A,39
11/1/2021,11:48:52 AM,38,cfs,A,38
11/1/2021,11:18:53 AM,37,cfs,A,37
11/1/2021,10:48:52 AM,36,cfs,A,36
11/1/2021,10:18:53 AM,36,cfs,A,36
11/1/2021,9:48:52 AM,36,cfs,A,36
11/1/2021,9:18:52 AM,34,cfs,A,34
11/1/2021,8:48:53 AM,39,cfs,A,39
11/1/2021,8:18:52 AM,38,cfs,A,38
11/1/2021,7:48:53 AM,38,cfs,A,38
11/1/2021,7:18:52 AM,36,cfs,A,36
11/1/2021,6:48:52 AM,38,cfs,A,38
11/1/2021,6:18:53 AM,40,cfs,A,40
